District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Central & Western,Silver Jubilee Mansion (non-residential),16/03/2020,177,"Silver Jubilee Mansion (non-residential), Central & Western","22.28375,114.14829"
Central & Western,Silver Jubilee Mansion (non-residential),16/03/2020,178,"Silver Jubilee Mansion (non-residential), Central & Western","22.28375,114.14829"
Central & Western,Century Square (non-residential),16/03/2020,184,"Century Square (non-residential), Central & Western","22.28156,114.15596"
Central & Western,Century Square (non-residential),16/03/2020,195,"Century Square (non-residential), Central & Western","22.28156,114.15596"
Central & Western,California Tower (non-residential),16/03/2020,195,"California Tower (non-residential), Central & Western","22.28084,114.15547"
Central & Western,California Tower (non-residential),16/03/2020,199,"California Tower (non-residential), Central & Western","22.28084,114.15547"
Central & Western,The Centrium (non-residential),16/03/2020,195,"The Centrium (non-residential), Central & Western","22.28058,114.15466"
Central & Western,Kinwick Centre (non-residential),16/03/2020,195,"Kinwick Centre (non-residential), Central & Western","22.28205,114.15318"
Central & Western,21 Gough Street (non-residential),16/03/2020,195,"21 Gough Street (non-residential), Central & Western","22.2843,114.15253"
Central & Western,Wing Tuck Commercial Centre (non-residential),16/03/2020,208,"Wing Tuck Commercial Centre (non-residential), Central & Western","22.28684,114.14906"
Eastern,AIA HK Tower (non-residential),16/03/2020,250,"AIA HK Tower (non-residential), Eastern","22.29119,114.2079"
Eastern,"Phase II, Healthy Village (non-residential)",16/03/2020,250,"Phase II, Healthy Village (non-residential), Eastern","22.29112,114.20631"
Central & Western,Wah Ming Centre (non-residential),16/03/2020,251,"Wah Ming Centre (non-residential), Central & Western","22.28668,114.13696"
Tuen Mun,Hong Kong Gold Coast Hotel (non-residential),16/03/2020,253,"Hong Kong Gold Coast Hotel (non-residential), Tuen Mun","22.3718,113.9894"
Central & Western,Hang Fai Building (non-residential),16/03/2020,261,"Hang Fai Building (non-residential), Central & Western","22.28293,114.1293"
Kwun Tong,Draco Industrial Building (non-residential),16/03/2020,262,"Draco Industrial Building (non-residential), Kwun Tong","22.31418,114.21794"
Tsuen Wan,Wing Fung Industrial Building (non-residential),16/03/2020,263,"Wing Fung Industrial Building (non-residential), Tsuen Wan","22.37345,114.10898"
Wan Chai,82 Jaffe Road (non-residential),16/03/2020,276,"82 Jaffe Road (non-residential), Wan Chai","22.27854,114.17096"
Wan Chai,82 Jaffe Road (non-residential),16/03/2020,363,"82 Jaffe Road (non-residential), Wan Chai","22.27854,114.17096"
Wan Chai,82 Jaffe Road (non-residential),16/03/2020,367,"82 Jaffe Road (non-residential), Wan Chai","22.27854,114.17096"
Wan Chai,82 Jaffe Road (non-residential),16/03/2020,386,"82 Jaffe Road (non-residential), Wan Chai","22.27854,114.17096"
